Tanggal,SUM of IHSG
Thu Apr 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),5500.9
Fri Apr 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),5491.34
Sat Apr 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),5491.34
Sun Apr 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),5491.34
Mon Apr 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),5447.41
Tue Apr 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),5419.11
Wed Apr 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),5414.55
Thu Apr 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),5420.73
Fri Apr 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),5410.64
Sat Apr 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),5410.64
Sun Apr 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),5410.64
Mon Apr 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),5400.8
Tue Apr 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),5460.57
Wed Apr 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),5437.12
Thu Apr 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),5436.21
Fri Apr 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),5435.35
Sat Apr 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),5435.35
Sun Apr 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),5435.35
Mon Apr 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),5245.45
Tue Apr 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),5242.16
Wed Apr 29 2015 00:00:00 GMT+0700 (Western Indonesia Time),5105.56
Thu Apr 30 2015 00:00:00 GMT+0700 (Western Indonesia Time),5086.43
Fri May 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),5086.43
Sat May 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),5086.43
Sun May 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),5086.43
Mon May 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),5141.14
Tue May 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),5160.31
Wed May 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),5184.95
Thu May 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),5150.49
Fri May 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),5182.21
Sat May 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),5182.21
Sun May 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),5182.21
Mon May 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),5172.48
Tue May 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),5205.61
Wed May 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),5246.13
Thu May 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),5246.13
Fri May 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),5227.1
Sat May 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),5227.1
Sun May 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),5227.1
Mon May 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),5237.81
Tue May 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),5269.37
Wed May 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),5292.75
Thu May 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),5313.21
Fri May 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),5315.15
Sat May 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),5315.15
Sun May 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),5315.15
Mon May 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),5288.36
Tue May 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),5320.9
Wed May 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),5253.39
Thu May 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),5237.4
Fri May 29 2015 00:00:00 GMT+0700 (Western Indonesia Time),5216.38
Sat May 30 2015 00:00:00 GMT+0700 (Western Indonesia Time),5216.38
Sun May 31 2015 00:00:00 GMT+0700 (Western Indonesia Time),5216.38
Mon Jun 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),5213.82
Tue Jun 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),5213.82
Wed Jun 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),5130.5
Thu Jun 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),5095.82
Fri Jun 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),5100.57
Sat Jun 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),5100.57
Sun Jun 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),5100.57
Mon Jun 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),5014.99
Tue Jun 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),4899.88
Wed Jun 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),4933.56
Thu Jun 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),4928.81
Fri Jun 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),4935.82
Sat Jun 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),4935.82
Sun Jun 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),4935.82
Mon Jun 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),4837.79
Tue Jun 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),4872.6
Wed Jun 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),4945.75
Thu Jun 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),4945.5
Fri Jun 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),4985.01
Sat Jun 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),4985.01
Sun Jun 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),4985.01
Mon Jun 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),4959.25
Tue Jun 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),4937.65
Wed Jun 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),4953.52
Thu Jun 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),4920.04
Fri Jun 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),4923.01
Sat Jun 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),4923.01
Sun Jun 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),4923.01
Mon Jun 29 2015 00:00:00 GMT+0700 (Western Indonesia Time),4882.58
Tue Jun 30 2015 00:00:00 GMT+0700 (Western Indonesia Time),4910.66
Wed Jul 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),4904.06
Thu Jul 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),4944.78
Fri Jul 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),4982.91
Sat Jul 04 2015 00:00:00 GMT+0700 (Western Indonesia Time),4982.91
Sun Jul 05 2015 00:00:00 GMT+0700 (Western Indonesia Time),4982.91
Mon Jul 06 2015 00:00:00 GMT+0700 (Western Indonesia Time),4916.74
Tue Jul 07 2015 00:00:00 GMT+0700 (Western Indonesia Time),4906.05
Wed Jul 08 2015 00:00:00 GMT+0700 (Western Indonesia Time),4871.57
Thu Jul 09 2015 00:00:00 GMT+0700 (Western Indonesia Time),4838.28
Fri Jul 10 2015 00:00:00 GMT+0700 (Western Indonesia Time),4859.03
Sat Jul 11 2015 00:00:00 GMT+0700 (Western Indonesia Time),4859.03
Sun Jul 12 2015 00:00:00 GMT+0700 (Western Indonesia Time),4859.03
Mon Jul 13 2015 00:00:00 GMT+0700 (Western Indonesia Time),4893.92
Tue Jul 14 2015 00:00:00 GMT+0700 (Western Indonesia Time),4901.81
Wed Jul 15 2015 00:00:00 GMT+0700 (Western Indonesia Time),4869.85
Thu Jul 16 2015 00:00:00 GMT+0700 (Western Indonesia Time),4869.85
Fri Jul 17 2015 00:00:00 GMT+0700 (Western Indonesia Time),4869.85
Sat Jul 18 2015 00:00:00 GMT+0700 (Western Indonesia Time),4869.85
Sun Jul 19 2015 00:00:00 GMT+0700 (Western Indonesia Time),4869.85
Mon Jul 20 2015 00:00:00 GMT+0700 (Western Indonesia Time),4869.85
Tue Jul 21 2015 00:00:00 GMT+0700 (Western Indonesia Time),4869.85
Wed Jul 22 2015 00:00:00 GMT+0700 (Western Indonesia Time),4906.69
Thu Jul 23 2015 00:00:00 GMT+0700 (Western Indonesia Time),4902.85
Fri Jul 24 2015 00:00:00 GMT+0700 (Western Indonesia Time),4856.6
Sat Jul 25 2015 00:00:00 GMT+0700 (Western Indonesia Time),4856.6
Sun Jul 26 2015 00:00:00 GMT+0700 (Western Indonesia Time),4856.6
Mon Jul 27 2015 00:00:00 GMT+0700 (Western Indonesia Time),4771.28
Tue Jul 28 2015 00:00:00 GMT+0700 (Western Indonesia Time),4714.76
Wed Jul 29 2015 00:00:00 GMT+0700 (Western Indonesia Time),4721.12
Thu Jul 30 2015 00:00:00 GMT+0700 (Western Indonesia Time),4712.49
Fri Jul 31 2015 00:00:00 GMT+0700 (Western Indonesia Time),4802.53
Sat Aug 01 2015 00:00:00 GMT+0700 (Western Indonesia Time),4802.53
Sun Aug 02 2015 00:00:00 GMT+0700 (Western Indonesia Time),4802.53
Mon Aug 03 2015 00:00:00 GMT+0700 (Western Indonesia Time),4800.18
