Tanggal,Sekuritas,Opinion,Opini Sekuritas,Support,Resistance,Pivot,Opininion Direction,Act. change,Act. direction,hit,,
Wed Apr 03 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG akan berpeluang menguat kembali untuk menguji 7.432 hingga 7.600,MNC Sekuritas^IHSG akan berpeluang menguat kembali untuk menguji 7.432 hingga 7.600^,7045,7454,,1,-0.97,-1,0,,
Thu Apr 04 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG diproyeksikan melemah terbatas dan bergerak dalam rentang 7140-7200,Phintraco Sekuritas^IHSG diproyeksikan melemah terbatas dan bergerak dalam rentang 7140-7200^,7140,7250,,-1,1.22,1,0,,
Thu Apr 04 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,IHSG berpotensi memasuki bearish trend dan melanjutkan peurunan ke support berikutnya di 7099,BRI Danareksa Sekuritas^IHSG berpotensi memasuki bearish trend dan melanjutkan peurunan ke support berikutnya di 7099^,7099,7238,,-1,1.22,1,0,,
Fri Apr 05 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG bergerak fluktuatif pada perdagangan akhir pekan jelang libur panjang Lebaran,Phintraco Sekuritas^IHSG bergerak fluktuatif pada perdagangan akhir pekan jelang libur panjang Lebaran^,7200,7300,,0,0.45,1,0,,
Fri Apr 05 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,IHSG berpeluang lanjutkan rebound,BRI Danareksa Sekuritas^IHSG berpeluang lanjutkan rebound^,7099,7300,,1,0.45,1,1,,
Tue Apr 16 2024 00:00:00 GMT+0700 (Indochina Time),BRI Danareksa Sekuritas,IHSG berpotensi menguji suplly zone resistance,BRI Danareksa Sekuritas^IHSG berpotensi menguji suplly zone resistance^,7100,7320,,1,-1.68,-1,0,,
Tue Apr 16 2024 00:00:00 GMT+0700 (Indochina Time),RHB Sekuritas,IHSG diperkirakan cenderung bergerak mixed ,RHB Sekuritas^IHSG diperkirakan cenderung bergerak mixed ^,7100,7300,,0,-1.68,-1,0,,
Tue Apr 16 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diperkirakan akan menguji area support,MNC Sekuritas^IHSG diperkirakan akan menguji area support^,7099,7600,,-1,-1.68,-1,1,,
Tue Apr 16 2024 00:00:00 GMT+0700 (Indochina Time),Mandiri Sekuritas,IHSG berpotensi bergerak dalam rentang 7.190 dan 7.350,Mandiri Sekuritas^IHSG berpotensi bergerak dalam rentang 7.190 dan 7.350^,7190,7350,,0,-1.68,-1,0,,
Wed Apr 17 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi berbalik menguat,MNC Sekuritas^IHSG diprediksi berbalik menguat^,7045,7238,,1,-0.47,-1,0,,
Wed Apr 17 2024 00:00:00 GMT+0700 (Indochina Time),RHB Sekuritas,IHSG diprakirakan bergerak rebound,RHB Sekuritas^IHSG diprakirakan bergerak rebound^,7050,7250,,1,-0.47,-1,0,,"Indeks harga saham gabungan (IHSG) Bursa Efek Indonesia (BEI), Selasa (16/4/2024), berpotensi menguji suplly zone resistance 7.320. Hal ini setelah ditutup rebound pada penutupan sebelum libur lebaran level 7.238."
Thu Apr 18 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi menguat,MNC Sekuritas^IHSG diprediksi menguat^,7045,7238,,1,0.5,1,1,,
Thu Apr 18 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG berpotensi berbalik menguat,Phintraco Sekuritas^IHSG berpotensi berbalik menguat^,7130,7250,,1,0.5,1,1,,
Fri Apr 19 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi berpeluang menguat,MNC Sekuritas^IHSG diprediksi berpeluang menguat^,7045,7238,,1,-1.11,-1,0,,
Fri Apr 19 2024 00:00:00 GMT+0700 (Indochina Time),Phintraco Sekuritas,IHSG diramal lanjut rebound,Phintraco Sekuritas^IHSG diramal lanjut rebound^,7130,7200,,1,-1.11,-1,0,,
Mon Apr 22 2024 00:00:00 GMT+0700 (Indochina Time),MNC Sekuritas,IHSG diprediksi berpotensi berbalik menguat,MNC Sekuritas^IHSG diprediksi berpotensi berbalik menguat^,7022,7152,,1,-0.19,-1,0,,
